Name,Vendor,Quantity,Price in USD,Link
PCB,JLCPCB,5,10,JLCPCB
100nF capacitor,LCSC,12,self-sourced,
47nH inductor,LCSC,1,0.23,
HTU21D,LCSC,2,3.29,
RP2040,LCSC,2,1.99,
SX1262IMLTRT,LCSC,2,6.51,
0900FM15K0039001E,LCSC,2,1.21,
AP2112K-3.3TRG1,LCSC,5,0.55,
W25Q128JVS,LCSC,2,5.6,
10uF capacitor,LCSC,50,1.75,
12nHz crystal,LCSC,20,0.43,
470nF cap,LCSC,100,1.15,
1k resistor,LCSC,100,0.76,
0900FM15K0039001E,LCSC,1,0.61,
100 ohm resistor,LCSC,1,selfsourced,
32MHz,LCSC,2,selfsourced,
3.3pF capacitor,LCSC,100,1.04,
 1uF capacitor,LCSC,50,1.09,
5.1k resistor,LCSC,100,0.24,
USB-c,LCSC,20,1.41,
switch,LCSC,2,selfsourced,
BLM15AX102SN1D,LCSC,100,1.26,
27.4 ohm resistor,LCSC,2,selfsourced,
1nF capacitor,LCSC,1,1.46,
 39pF cap,LCSC,100,0.52,
 15pF cap,LCSC,100,0.57,
 47pF cap,LCSC,100,0.61,
 9.1nH inductor,LCSC,50,0.54,
 10k resistor,LCSC,100,0.51,
PE4259,LCSC,2,1.41,
15uH inductor,LCSC,20,0.73,
,,,,
,Total cost w. shipping:,50 usd,,
